"","countrycode","sptemp","cdd","cddeq","clim.max"
"1","AFG","18",725,725,0.755391542721507
"2","AGO","18",1203,1203,0.899937118975984
"3","ALB","18",309,309,0.467502182698996
"4","ARE","18",3052,3052,0.996847585085605
"5","ARG","18",748,748,0.765689115786765
"6","ARM","18",160,160,0.296400854348226
"7","AUS","18",563,563,0.668840941705331
"8","AUT","18",113,113,0.231762601040968
"9","AZE","18",640,640,0.713250561283772
"10","BDI","18",721,721,0.75355501139679
"11","BEL","18",86,86,0.191978393719348
"12","BEN","18",3470,3470,0.998557310905847
"13","BFA","18",3658,3658,0.998984938909254
"14","BGD","18",2625,2625,0.992994757490962
"15","BGR","18",217,217,0.367538848216701
"16","BHS","18",2401,2401,0.98935022464389
"17","BIH","18",133,133,0.259964025940947
"18","BLR","18",84,84,0.188950734718666
"19","BLZ","18",2547,2547,0.99189469489432
"20","BOL","18",1461,1461,0.938234880322714
"21","BRA","18",1665,1665,0.957823685377259
"22","BRN","18",3006,3006,0.996564409565728
"23","BTN","18",1032,1032,0.862232318573345
"24","BWA","18",1512,1512,0.943853250012499
"25","CAF","18",2308,2308,0.987327316155597
"26","CAN","18",137,137,0.265478843894763
"27","CHE","18",66,66,0.161186160036305
"28","CHL","18",48,48,0.132471123230013
"29","CHN","18",879,879,0.816598305598534
"30","CIV","18",2936,2936,0.996083929221805
"31","CMR","18",2239,2239,0.985581980209443
"32","COD","18",1921,1921,0.973868570151388
"33","COG","18",2448,2448,0.990246279532739
"34","COL","18",1491,1491,0.941604501953964
"35","COM","18",2018,2018,0.978203513248711
"36","CRI","18",1871,1871,0.971307412945754
"37","CYP","18",1107,1107,0.880260470204559
"38","CZE","18",91,91,0.199498185926331
"39","DEU","18",103,103,0.217261398006742
"40","DJI","18",3302,3302,0.998024801699538
"41","DNK","18",24,24,0.0926495142147562
"42","DOM","18",2073,2073,0.980333851673514
"43","DZA","18",900,900,0.823660908333633
"44","ECU","18",2086,2086,0.980806171432087
"45","EGY","18",1428,1428,0.934303293253517
"46","ESP","18",448,448,0.589387971697118
"47","EST","18",31,31,0.104449333765485
"48","ETH","18",704,704,0.745594665902656
"49","FIN","18",23,23,0.0909511813600269
"50","FJI","18",2001,2001,0.977499471482303
"51","FRA","18",167,167,0.305550949140486
"52","GAB","18",2600,2600,0.99265948650512
"53","GBR","18",21,21,0.0875449731393296
"54","GEO","18",226,226,0.37809409782999
"55","GHA","18",3261,3261,0.997867406598237
"56","GIN","18",2609,2609,0.992781993558731
"57","GMB","18",3115,3115,0.997197928966452
"58","GNB","18",3065,3065,0.996923296293849
"59","GNQ","18",2097,2097,0.981196955492558
"60","GRC","18",508,508,0.63296808775881
"61","GTM","18",1053,1053,0.867537604365974
"62","GUY","18",2963,2963,0.996276743090289
"63","HKG","18",1907,1907,0.973175415513533
"64","HND","18",1696,1696,0.96019912891495
"65","HRV","18",244,244,0.398679062030089
"66","HTI","18",2361,2361,0.988523071548412
"67","HUN","18",225,225,0.376930045743446
"68","IDN","18",3012,3012,0.996602741446422
"69","IND","18",2761,2761,0.994567829387144
"70","IRL","18",4,4,0.0580720376057742
"71","IRN","18",1014,1014,0.857516130243578
"72","IRQ","18",2278,2278,0.98659605859231
"73","ISR","18",984,984,0.849294319561238
"74","ITA","18",363,363,0.518648006058392
"75","JAM","18",2264,2264,0.986240509576963
"76","JOR","18",990,990,0.8509757866258
"77","JPN","18",550,550,0.660691813671306
"78","KAZ","18",416,416,0.56406689677364
"79","KEN","18",1016,1016,0.858048024653926
"80","KGZ","18",135,135,0.262726591266631
"81","KHM","18",3300,3300,0.998017400626515
"82","KOR","18",538,538,0.652991665423823
"83","KWT","18",3008,3008,0.996577234676046
"84","LAO","18",2136,2136,0.98251945062324
"85","LBN","18",522,522,0.64245229327704
"86","LBR","18",2624,2624,0.992981645431515
"87","LKA","18",2848,2848,0.995383444803045
"88","LSO","18",121,121,0.243169893237042
"89","LTU","18",58,58,0.1485431712267
"90","LUX","18",97,97,0.208429617253721
"91","LVA","18",42,42,0.122682638521278
"92","MAR","18",707,707,0.747017883967634
"93","MDA","18",251,251,0.406499059562773
"94","MDG","18",1046,1046,0.865792273337066
"95","MDV","18",3518,3518,0.998681164963774
"96","MEX","18",968,968,0.844717071430532
"97","MKD","18",138,138,0.266851114983321
"98","MLI","18",3702,3702,0.999065114485327
"99","MMR","18",2719,2719,0.994123985073188
"100","MNE","18",98,98,0.209908470710524
"101","MNG","18",61,61,0.153306470489108
"102","MOZ","18",1981,1981,0.976642017267312
