regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
1,ABW,Aruba,future,rcp26,SSP1,2020,mean,CDD,nan
1,ABW,Aruba,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
2,AFG,Afghanistan,future,rcp26,SSP1,2020,mean,CDD,533
2,AFG,Afghanistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,360
3,AGO,Angola,future,rcp26,SSP1,2020,mean,CDD,239
3,AGO,Angola,future,rcp26,SSP1,2020,PopWeightAv,CDD,207
4,ALB,Albania,future,rcp26,SSP1,2020,mean,CDD,97
4,ALB,Albania,future,rcp26,SSP1,2020,PopWeightAv,CDD,130
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,mean,CDD,1993
5,ARE,United Arab Emirates,future,rcp26,SSP1,2020,PopWeightAv,CDD,1948
6,ARG,Argentina,future,rcp26,SSP1,2020,mean,CDD,163
6,ARG,Argentina,future,rcp26,SSP1,2020,PopWeightAv,CDD,167
7,ARM,Armenia,future,rcp26,SSP1,2020,mean,CDD,32
7,ARM,Armenia,future,rcp26,SSP1,2020,PopWeightAv,CDD,38
8,AUS,Australia,future,rcp26,SSP1,2020,mean,CDD,881
8,AUS,Australia,future,rcp26,SSP1,2020,PopWeightAv,CDD,132
9,AUT,Austria,future,rcp26,SSP1,2020,mean,CDD,17
9,AUT,Austria,future,rcp26,SSP1,2020,PopWeightAv,CDD,38
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,mean,CDD,228
10,AZE,Azerbaijan,future,rcp26,SSP1,2020,PopWeightAv,CDD,267
11,BDI,Burundi,future,rcp26,SSP1,2020,mean,CDD,29
11,BDI,Burundi,future,rcp26,SSP1,2020,PopWeightAv,CDD,28
12,BEL,Belgium,future,rcp26,SSP1,2020,mean,CDD,12
12,BEL,Belgium,future,rcp26,SSP1,2020,PopWeightAv,CDD,10
13,BEN,Benin,future,rcp26,SSP1,2020,mean,CDD,1735
13,BEN,Benin,future,rcp26,SSP1,2020,PopWeightAv,CDD,1663
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,mean,CDD,2084
14,BFA,Burkina Faso,future,rcp26,SSP1,2020,PopWeightAv,CDD,2073
15,BGD,Bangladesh,future,rcp26,SSP1,2020,mean,CDD,1218
15,BGD,Bangladesh,future,rcp26,SSP1,2020,PopWeightAv,CDD,1236
16,BGR,Bulgaria,future,rcp26,SSP1,2020,mean,CDD,90
16,BGR,Bulgaria,future,rcp26,SSP1,2020,PopWeightAv,CDD,92
17,BHR,Bahrain,future,rcp26,SSP1,2020,mean,CDD,nan
17,BHR,Bahrain,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
18,BHS,Bahamas,future,rcp26,SSP1,2020,mean,CDD,809
18,BHS,Bahamas,future,rcp26,SSP1,2020,PopWeightAv,CDD,935
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,mean,CDD,57
19,BIH,Bosnia and Herzegovina,future,rcp26,SSP1,2020,PopWeightAv,CDD,58
20,BLR,Belarus,future,rcp26,SSP1,2020,mean,CDD,30
20,BLR,Belarus,future,rcp26,SSP1,2020,PopWeightAv,CDD,31
21,BLZ,Belize,future,rcp26,SSP1,2020,mean,CDD,979
21,BLZ,Belize,future,rcp26,SSP1,2020,PopWeightAv,CDD,996
22,BOL,Bolivia,future,rcp26,SSP1,2020,mean,CDD,698
22,BOL,Bolivia,future,rcp26,SSP1,2020,PopWeightAv,CDD,659
23,BRA,Brazil,future,rcp26,SSP1,2020,mean,CDD,1100
23,BRA,Brazil,future,rcp26,SSP1,2020,PopWeightAv,CDD,553
24,BRB,Barbados,future,rcp26,SSP1,2020,mean,CDD,nan
24,BRB,Barbados,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,mean,CDD,1122
25,BRN,Brunei Darussalam,future,rcp26,SSP1,2020,PopWeightAv,CDD,1251
26,BTN,Bhutan,future,rcp26,SSP1,2020,mean,CDD,26
26,BTN,Bhutan,future,rcp26,SSP1,2020,PopWeightAv,CDD,290
27,BWA,Botswana,future,rcp26,SSP1,2020,mean,CDD,704
27,BWA,Botswana,future,rcp26,SSP1,2020,PopWeightAv,CDD,596
28,CAF,Central African Republic,future,rcp26,SSP1,2020,mean,CDD,869
28,CAF,Central African Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,788
29,CAN,Canada,future,rcp26,SSP1,2020,mean,CDD,3
29,CAN,Canada,future,rcp26,SSP1,2020,PopWeightAv,CDD,20
30,CHE,Switzerland,future,rcp26,SSP1,2020,mean,CDD,6
30,CHE,Switzerland,future,rcp26,SSP1,2020,PopWeightAv,CDD,14
31,CHL,Chile,future,rcp26,SSP1,2020,mean,CDD,0
31,CHL,Chile,future,rcp26,SSP1,2020,PopWeightAv,CDD,0
32,CHN,China,future,rcp26,SSP1,2020,mean,CDD,142
32,CHN,China,future,rcp26,SSP1,2020,PopWeightAv,CDD,336
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,mean,CDD,1292
33,CIV,Cote d'Ivoire,future,rcp26,SSP1,2020,PopWeightAv,CDD,1281
