"","countrycode","year","gdppc","scenario"
"1","AFG",1950,NA,"Observed"
"2","AFG",1951,NA,"Observed"
"3","AFG",1952,NA,"Observed"
"4","AFG",1953,NA,"Observed"
"5","AFG",1954,NA,"Observed"
"6","AFG",1955,NA,"Observed"
"7","AFG",1956,NA,"Observed"
"8","AFG",1957,NA,"Observed"
"9","AFG",1958,NA,"Observed"
"10","AFG",1959,NA,"Observed"
"11","AFG",1960,NA,"Observed"
"12","AFG",1961,NA,"Observed"
"13","AFG",1962,NA,"Observed"
"14","AFG",1963,NA,"Observed"
"15","AFG",1964,NA,"Observed"
"16","AFG",1965,NA,"Observed"
"17","AFG",1966,NA,"Observed"
"18","AFG",1967,NA,"Observed"
"19","AFG",1968,NA,"Observed"
"20","AFG",1969,NA,"Observed"
"21","AFG",1970,861.1260359,"Observed"
"22","AFG",1971,881.3235359,"Observed"
"23","AFG",1972,751.5057698,"Observed"
"24","AFG",1973,793.8416529,"Observed"
"25","AFG",1974,813.1632995,"Observed"
"26","AFG",1975,853.5081833,"Observed"
"27","AFG",1976,874.2868055,"Observed"
"28","AFG",1977,811.6449632,"Observed"
"29","AFG",1978,850.2461296,"Observed"
"30","AFG",1979,811.7862356,"Observed"
"31","AFG",1980,805.0127225,"Observed"
"32","AFG",1981,899.641867,"Observed"
"33","AFG",1982,984.0747809,"Observed"
"34","AFG",1983,1028.326867,"Observed"
"35","AFG",1984,1011.770182,"Observed"
"36","AFG",1985,984.3781103,"Observed"
"37","AFG",1986,1009.525701,"Observed"
"38","AFG",1987,905.1610411,"Observed"
"39","AFG",1988,818.0061463,"Observed"
"40","AFG",1989,737.4848996,"Observed"
"41","AFG",1990,706.7939305,"Observed"
"42","AFG",1991,644.878854,"Observed"
"43","AFG",1992,613.0925456,"Observed"
"44","AFG",1993,418.8103952,"Observed"
"45","AFG",1994,307.7140324,"Observed"
"46","AFG",1995,450.097561,"Observed"
"47","AFG",1996,422.0257874,"Observed"
"48","AFG",1997,442.4493559,"Observed"
"49","AFG",1998,418.8978425,"Observed"
"50","AFG",1999,396.4112031,"Observed"
"51","AFG",2000,382.6703941,"Observed"
"52","AFG",2001,369.8145906,"Observed"
"53","AFG",2002,604.6873907,"Observed"
"54","AFG",2003,636.0411152,"Observed"
"55","AFG",2004,618.1117999,"Observed"
"56","AFG",2005,666.4789761,"Observed"
"57","AFG",2006,687.727373,"Observed"
"58","AFG",2007,736.4802003,"Observed"
"59","AFG",2008,1009.864488,"Observed"
"60","AFG",2009,1170.993533,"Observed"
"61","AGO",1950,NA,"Observed"
"62","AGO",1951,NA,"Observed"
"63","AGO",1952,NA,"Observed"
"64","AGO",1953,NA,"Observed"
"65","AGO",1954,NA,"Observed"
"66","AGO",1955,NA,"Observed"
"67","AGO",1956,NA,"Observed"
"68","AGO",1957,NA,"Observed"
"69","AGO",1958,NA,"Observed"
"70","AGO",1959,NA,"Observed"
"71","AGO",1960,NA,"Observed"
"72","AGO",1961,NA,"Observed"
"73","AGO",1962,NA,"Observed"
"74","AGO",1963,NA,"Observed"
"75","AGO",1964,NA,"Observed"
"76","AGO",1965,NA,"Observed"
"77","AGO",1966,NA,"Observed"
"78","AGO",1967,NA,"Observed"
"79","AGO",1968,NA,"Observed"
"80","AGO",1969,NA,"Observed"
"81","AGO",1970,2483.9146,"Observed"
"82","AGO",1971,2574.855743,"Observed"
"83","AGO",1972,2502.763362,"Observed"
"84","AGO",1973,2647.64154,"Observed"
"85","AGO",1974,2757.960181,"Observed"
"86","AGO",1975,2653.33353,"Observed"
"87","AGO",1976,2488.131229,"Observed"
"88","AGO",1977,2427.676461,"Observed"
"89","AGO",1978,2272.62162,"Observed"
"90","AGO",1979,2229.863357,"Observed"
"91","AGO",1980,2113.230432,"Observed"
"92","AGO",1981,1979.866033,"Observed"
"93","AGO",1982,2007.90374,"Observed"
"94","AGO",1983,2035.150686,"Observed"
"95","AGO",1984,2184.07898,"Observed"
"96","AGO",1985,2152.900924,"Observed"
"97","AGO",1986,2285.720265,"Observed"
"98","AGO",1987,2390.584288,"Observed"
"99","AGO",1988,2529.70887,"Observed"
"100","AGO",1989,2443.193106,"Observed"
"101","AGO",1990,2393.519564,"Observed"
"102","AGO",1991,2521.357989,"Observed"
"103","AGO",1992,2431.693467,"Observed"
"104","AGO",1993,1730.168392,"Observed"
"105","AGO",1994,1751.032674,"Observed"
"106","AGO",1995,1999.77908,"Observed"
"107","AGO",1996,2281.094835,"Observed"
"108","AGO",1997,2405.534729,"Observed"
"109","AGO",1998,2266.124724,"Observed"
"110","AGO",1999,2430.222568,"Observed"
"111","AGO",2000,2330.670256,"Observed"
"112","AGO",2001,2192.060451,"Observed"
"113","AGO",2002,2504.538426,"Observed"
"114","AGO",2003,2482.607622,"Observed"
"115","AGO",2004,2639.785495,"Observed"
"116","AGO",2005,3108.189699,"Observed"
"117","AGO",2006,3673.048548,"Observed"
"118","AGO",2007,4353.259423,"Observed"
"119","AGO",2008,4844.210755,"Observed"
"120","AGO",2009,4756.133112,"Observed"
"121","ALB",1950,NA,"Observed"
