"","countrycode","gdppc","avg.gdp","country","governance","gov.eff","corr.cont","readiness","avg.gov","urban","avg.urb","gini_reported","avg.gini"
"1","ABW",23300.0395575696,25600.6250684888,NA,NA,NA,NA,NA,NA,44.875,43.6806666666667,NA,NA
"2","AFG",242.031284871985,485.104079062165,NA,NA,NA,NA,NA,NA,22.703,23.7476666666667,29,31
"3","AGO",1902.42234554625,3872.29163834232,NA,NA,NA,NA,NA,NA,56,59.743,55,46.1028571428571
"4","ALB",2673.78728253113,3964.49341259236,NA,NA,NA,NA,NA,NA,46.731,52.1093333333333,30.6,29.8466666666667
"5","AND",40066.2569185146,41643.4822619658,NA,NA,NA,NA,NA,NA,90.285,89.1496666666667,27.96,27.96
"6","ARB",3765.82049560194,6011.78278512179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARE",39365.4339019123,39719.9709457857,NA,NA,NA,NA,NA,NA,82.262,84.0076666666667,38.3,38.3
"8","ARG",5109.85132522621,10319.3475653475,"Argentina",0.488522857136697,0.478942930226595,0.341235897783079,0.383390439128607,0.494411135238236,90.031,90.7943333333333,47.53,42.43
"9","ARM",1643.7530293611,3282.99602660898,"Armenia",0.468265975147661,0.47574917120048,0.27532939609123,0.432511921910151,0.488134158889384,63.938,63.4876666666667,43.4,32.9657894736842
"10","ASM",8444.98169974145,10515.5957960433,NA,NA,NA,NA,NA,NA,88.1,87.644,NA,NA
"11","ATG",12547.6130399103,13937.0650424463,NA,NA,NA,NA,NA,NA,29.218,26.8186666666667,NA,NA
"12","AUS",33999.2428575835,51943.1745551909,"Australia",0.875404345789417,0.860486246836646,0.88069424472608,0.694779929220161,0.888820759889148,84.582,85.155,35.4,36.4312121212121
"13","AUT",38403.1338770715,47018.073889831,"Austria",0.87842425979677,0.846933189552518,0.873711001432697,0.713656333136737,0.880514294116457,58.813,57.9756666666667,26.3,32.5429824561404
