"","countrycode","year","scenario","gdppc","gini","urbanization"
"1","ARG",2025,"SSP1",19869.32453,42.0261953399,94.79
"2","ARG",2025,"SSP2",19011.81366,42.8648042012,94.79
"3","ARG",2025,"SSP3",17664.08352,43.9638505938,94.79
"4","ARG",2025,"SSP4",17477.68593,44.4661601876,94.79
"5","ARG",2025,"SSP5",20299.3079,41.8315678469,94.79
"6","ARG",2030,"SSP1",22291.6203,41.2682774918,95.42
"7","ARG",2030,"SSP2",21031.03092,42.6972080419,95.42
"8","ARG",2030,"SSP3",18953.30294,44.2530228758,95.42
"9","ARG",2030,"SSP4",18533.6866,44.9071138877,95.42
"10","ARG",2030,"SSP5",23195.08512,40.9440092731,95.42
"11","ARG",2035,"SSP1",24931.21965,40.6200152513,95.97
"12","ARG",2035,"SSP2",22999.78353,42.4433671368,95.97
"13","ARG",2035,"SSP3",20257.07576,44.5049192976,95.97
"14","ARG",2035,"SSP4",19487.24001,45.0708552232,95.97
"15","ARG",2035,"SSP5",26511.12991,40.3479436895,95.97
"16","ARG",2040,"SSP1",27833.6491,39.9924207601,96.46
"17","ARG",2040,"SSP2",24945.23926,42.2077324661,96.46
"18","ARG",2040,"SSP3",21541.511,44.6659535034,96.46
"19","ARG",2040,"SSP4",20410.31787,45.1910751452,96.46
"20","ARG",2040,"SSP5",30281.32614,39.3060069792,96.46
"21","ARG",2045,"SSP1",30839.77248,39.1442000264,96.89
"22","ARG",2045,"SSP2",27247.89555,41.7247084525,96.89
"23","ARG",2045,"SSP3",22701.8461,44.8366172785,96.89
"24","ARG",2045,"SSP4",21255.94709,44.9200617115,96.89
"25","ARG",2045,"SSP5",34348.77203,38.0384549383,96.89
"26","ARG",2050,"SSP1",33747.88786,37.8734647989,97.28
"27","ARG",2050,"SSP2",29812.37579,40.8911816554,97.28
"28","ARG",2050,"SSP3",23660.34164,45.0147407592,97.28
"29","ARG",2050,"SSP4",21966.53634,44.3595072413,97.28
"30","ARG",2050,"SSP5",38727.95629,36.6295662867,97.28
"31","ARG",2055,"SSP1",36691.40501,36.5925868836,97.61
"32","ARG",2055,"SSP2",32489.06971,39.9350624463,97.61
"33","ARG",2055,"SSP3",24535.92289,45.2050020227,97.61
"34","ARG",2055,"SSP4",22587.02935,43.7135098007,97.61
"35","ARG",2055,"SSP5",43579.99334,35.3724474301,97.61
"36","ARG",2060,"SSP1",39825.95218,35.3325247923,97.91
"37","ARG",2060,"SSP2",35231.55698,39.0011105107,97.91
"38","ARG",2060,"SSP3",25440.74785,45.4095095517,97.91
"39","ARG",2060,"SSP4",23204.58021,43.1593213422,97.91
"40","ARG",2060,"SSP5",49046.47973,34.3486282411,97.91
"41","ARG",2065,"SSP1",43217.70722,34.2670005324,98.16
"42","ARG",2065,"SSP2",38110.01472,37.8121784913,98.16
"43","ARG",2065,"SSP3",26446.22764,45.5675133054,98.16
"44","ARG",2065,"SSP4",23871.06666,42.6666165659,98.16
"45","ARG",2065,"SSP5",55117.14207,33.5147765511,98.16
"46","ARG",2070,"SSP1",46894.20683,33.4092860189,98.39
"47","ARG",2070,"SSP2",41205.82355,36.6282552163,98.39
"48","ARG",2070,"SSP3",27562.64662,45.6283584151,98.39
"49","ARG",2070,"SSP4",24610.36664,42.0901306764,98.39
