scenaio;countrycode;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
SSP1;AFG;22.60;26.83;31.33;35.98;40.67;45.28;49.72;53.92;57.84;61.46;64.78;67.81;70.55;73.04;75.28;77.32;79.15;80.82;82.32
SSP1;ALB;51.91;56.76;61.34;65.60;69.52;73.07;76.28;79.14;81.69;83.95;85.95;87.71;89.25;90.61;91.79;92.83;93.74;94.54;95.23
SSP1;DZA;66.50;70.19;73.37;76.11;78.48;80.53;82.32;83.89;85.27;86.49;87.58;88.55;89.41;90.20;90.90;91.54;92.12;92.65;93.13
SSP1;AGO;58.50;62.50;66.40;70.13;73.66;76.95;79.98;82.72;85.18;87.36;89.28;90.94;92.38;93.61;94.65;95.54;96.29;96.92;97.44
SSP1;ARG;92.39;93.29;94.08;94.79;95.42;95.97;96.46;96.89;97.28;97.61;97.91;98.16;98.39;98.59;98.77;98.92;99.06;99.17;99.28
SSP1;ARM;64.19;68.56;72.25;75.37;78.01;80.26;82.20;83.87;85.32;86.59;87.70;88.69;89.57;90.35;91.06;91.69;92.27;92.79;93.26
SSP1;AUS;89.11;89.96;90.75;91.49;92.17;92.80;93.39;93.93;94.43;94.89;95.31;95.70;96.06;96.39;96.69;96.97;97.23;97.46;97.68
SSP1;AUT;67.55;70.78;73.67;76.24;78.54;80.59;82.42;84.05;85.52;86.83;88.00;89.06;90.02;90.88;91.66;92.36;93.00;93.58;94.11
SSP1;AZE;51.93;56.37;60.56;64.47;68.07;71.36;74.36;77.07;79.51;81.69;83.66;85.41;86.98;88.38;89.63;90.74;91.73;92.62;93.41
SSP1;BGD;28.07;33.00;38.15;43.38;48.54;53.53;58.26;62.66;66.71;70.38;73.70;76.67;79.32;81.68;83.77;85.62;87.26;88.71;90.00
SSP1;BLR;74.70;78.89;81.96;84.28;86.09;87.53;88.70;89.67;90.49;91.18;91.78;92.30;92.76;93.16;93.52;93.84;94.13;94.39;94.63
SSP1;BEL;97.41;97.55;97.68;97.80;97.92;98.03;98.13;98.23;98.33;98.41;98.50;98.58;98.65;98.73;98.79;98.86;98.92;98.98;99.03
SSP1;BEN;42.04;47.13;52.03;56.64;60.92;64.85;68.41;71.62;74.51;77.09;79.40;81.46;83.30;84.95;86.42;87.73;88.91;89.97;90.92
SSP1;BOL;66.55;69.88;72.85;75.50;77.86;79.96;81.83;83.49;84.98;86.32;87.51;88.59;89.56;90.44;91.23;91.95;92.60;93.19;93.73
SSP1;BIH;48.62;53.31;57.79;62.00;65.91;69.50;72.78;75.74;78.40;80.79;82.93;84.84;86.54;88.05;89.39;90.58;91.64;92.58;93.41
SSP1;BWA;61.13;65.05;68.75;72.20;75.39;78.30;80.94;83.31;85.43;87.32;88.99;90.45;91.74;92.86;93.84;94.69;95.43;96.07;96.62
SSP1;BRA;86.53;87.73;88.71;89.53;90.22;90.81;91.32;91.77;92.16;92.50;92.81;93.09;93.34;93.56;93.77;93.95;94.12;94.28;94.42
SSP1;BGR;71.46;75.77;79.11;81.73;83.84;85.56;86.98;88.18;89.19;90.07;90.82;91.49;92.07;92.59;93.05;93.46;93.84;94.18;94.49
SSP1;BFA;25.69;31.96;38.64;45.42;52.00;58.16;63.77;68.76;73.14;76.94;80.21;83.03;85.43;87.49;89.26;90.76;92.06;93.16;94.11
SSP1;BDI;11.00;13.76;17.03;20.82;25.12;29.86;34.94;40.25;45.63;50.96;56.11;60.98;65.51;69.66;73.42;76.78;79.77;82.41;84.73
